1,37.0,USA,m,married,True
2,29.0,IND,m,married,True
3,25,IND,m,single,False
4,32,USA,m,married,True
5,29,USA,m,married,True
6,35,IND,m,married,True
7,34,USA,m,married,True
8,29,VNM,m,single,False
9,61,USA,f,married,True
10,27,USA,m,single,False
11,45.0,USA,m,divorced,False
12,25,USA,f,single,False
13,45.0,IND,m,married,True
14,25.0,IND,m,married,True
15,27,USA,m,married,True
16,35.0,USA,m,single,False
17,30.0,USA,m,single,False
18,30,USA,m,single,False
19,29,USA,m,married,False
20,40,USA,m,married,True
21,29.0,IND,m,single,True
22,32,USA,m,single,False
23,27,IND,m,single,False
24,35,IND,f,single,False
25,32.0,IND,m,married,True
26,31.0,IND,f,married,True
27,28,USA,m,married,True
28,36.0,USA,m,married,True
29,44,USA,m,single,False
30,37.0,USA,m,married,True
31,31,USA,f,married,False
32,45.0,IND,f,married,True
33,44,THA,m,married,True
34,23,USA,m,single,False
35,26,IND,m,single,False
36,37,USA,m,single,False
37,23,USA,m,single,False
38,26,GBR,m,single,True
39,36,IND,m,married,True
40,28,IND,m,single,False
41,26,SRB,m,single,False
42,32.0,USA,m,single,False
43,36,USA,m,married,True
44,42.0,USA,f,single,False
45,23,IND,m,single,False
46,29,USA,m,single,False
47,41,USA,m,married,False
48,57.0,USA,f,married,False
49,35,USA,m,married,False
50,30,IND,m,single,True
51,30,IND,m,single,False
52,29,IND,m,married,True
53,32,USA,m,married,True
54,29,IND,f,married,True
55,26.0,IND,m,married,True
56,24,IND,f,single,False
57,34,USA,m,single,False
58,38.0,USA,m,married,False
59,43.0,USA,m,single,False
60,29,USA,m,single,False
61,29,IND,m,single,False
62,3,IND,m,single,False
63,25,USA,m,single,False
64,48,USA,f,married,True
65,30,IND,m,single,False
66,41,USA,f,single,False
67,44,USA,m,married,True
68,37.0,USA,m,single,True
69,23,USA,m,married,True
70,28,IND,f,married,True
71,26.0,IND,m,single,True
72,25,BGR,m,single,True
73,38.0,USA,f,married,True
74,27,IND,f,married,True
75,25,IND,m,married,True
76,29,IND,m,married,True
77,29,USA,m,single,False
78,28,USA,f,married,True
79,27,IND,m,single,False
80,23,USA,o,single,False
81,30,IND,m,single,True
82,53,USA,f,single,False
83,30,USA,m,single,False
84,32.0,USA,m,married,True
85,23,IND,f,single,False
86,27,USA,m,single,False
87,36,USA,f,single,False
88,46,USA,f,married,True
89,36,USA,f,single,False
90,32,USA,m,married,True
91,29,USA,m,single,False
92,54,USA,f,married,True
93,35,USA,m,single,True
94,28,USA,m,single,False
95,37,USA,m,married,True
96,28,IND,f,married,True
97,29,USA,m,single,False
98,34.0,USA,m,married,True
99,38,USA,m,single,False
100,34,USA,m,married,True
101,29,IND,m,married,True
102,27,IND,f,married,True
103,26,USA,f,single,True
104,25.0,GBR,m,married,False
105,34,USA,m,divorced,True
106,44,USA,f,married,True
107,37,USA,m,single,True
108,26,USA,m,single,False
109,65,USA,m,married,True
110,25,IND,m,single,True
111,35.0,USA,o,single,True
112,48.0,USA,f,married,True
113,59,USA,f,single,False
114,34,USA,m,married,True
115,25,BRA,m,single,False
116,27,IND,f,single,False
117,22.0,USA,m,single,False
118,34,USA,f,single,False
119,47,IND,m,married,True
120,25,BGD,m,single,False
121,57,USA,f,divorced,True
122,32,USA,m,single,False
123,29,USA,m,single,False
124,28,USA,m,single,False
125,39,USA,o,married,True
126,34,USA,m,married,True
127,21,USA,m,single,False
128,25,USA,f,single,False
129,25,USA,m,single,False
130,33,USA,f,married,True
131,32,USA,m,single,False
132,30,IND,f,married,True
133,40,USA,m,single,False
134,37,USA,f,single,False
135,23,CAN,m,single,False
136,30.0,IND,m,married,True
137,28.0,USA,m,divorced,False
138,30,IND,m,married,True
139,30.0,USA,m,married,True
140,33,PRT,m,married,False
